label,doc
monkey,"Chimpanzee cultures are disappearing. In places where their habitats have been heavily altered by humans, groups are abandoning unique behaviours and reverting to a core set of activities. The loss of chimpanzee cultural diversity is analogous to the way many human languages are disappearing because so few people speak them. It could make life more difficult for chimps in the long run, because many of the lost behaviours allow the chimps to obtain additional food. Chimpanzee culture refers to how groups have different behavioural traditions, which are passed on by learning and imitation rather than genes.
                     
 For example, some chimps in Uganda have learned to use moss to soak up water, which they can then drink. Chimps elsewhere don’t do this. In 2002, Carel van Schaik at the University of Zurich in Switzerland suggested that human interference could destroy this cultural diversity. Now a decade-long study has found strong evidence that van Schaik was right. A team co-led by Hjalmar Kühl at the German Centre for Integrative Biodiversity Research in Leipzig, Germany, tracked 31 cultural behaviours, such as using twigs to catch termites, in 144 chimpanzee communities across Africa. They used camera traps to record behaviours, scouted for the remains of tools, and studied faeces to see if the chimps had eaten things like termites that can be obtained only by using tools. The team then placed the different communities on a map and overlaid a measure of human disturbance, which combined factors like the density of the human population and the amount of infrastructure. They found that, in areas with a greater human footprint, the chimps perform fewer cultural behaviours. Each behaviour was 88 per cent less likely to occur in these human-dominated landscapes. “In those places, we find the chimpanzees have suffered a loss in behavioural or cultural diversity,” says study co-leader Ammie Kalan at the Max Planck Institute for Evolutionary Anthropology in Leipzig. “This is a very impressive study, with sample sizes that were unimaginable just a few years ago and very careful analyses that controlled for all the obvious confounds,” says van Schaik. “It is a discouraging finding,” says Jill Pruetz at Texas State University. “Those of us who work in disturbed areas kind of had these thoughts before, but to see it demonstrated like that is especially significant.” Losing some of the behaviours poses a real risk to the chimps, says Pruetz, because if they stop fishing for termites or cracking nuts, they lose access to those foods. Conservationists must now ensure that, as well as keeping animal populations up, they also preserve behavioural diversity, says Kühl. He says living near humans need not be disastrous. In a study published in February, he and his colleagues showed that chimps living in human-modified landscapes can do fine provided people don’t actively harm them, such as by hunting them for meat. Chimps in these areas may ultimately invent new behaviours to suit their altered homes. Another crucial step will be to create corridors so that chimps can move from one group to another. “The community I study is cut off on both sides,” says Pruetz. “The fact you don’t have the exchange of individuals leads not only to a lack of genetic diversity but also a lack of behavioural diversity.” Other species with culture may also be losing cultural diversity. “This is not just specific to chimpanzees,” says Kühl. Other primates like orangutans and capuchin monkeys are obvious examples, as are cetaceans like whales, dolphins and orcas. More on these topics: "
monkey,"One group of monkeys is going through an unexpected transition – their coats are changing rapidly from charcoal black to creamy yellow. Hair colour in primates is controlled by melanin. It comes in two forms: eumelanin, which is responsible for brown and black hues, and pheomelanin, which produces yellow and red tones. The mix of melanin in an animal’s skin and hair is determined by DNA, so the natural hair colour of individuals belonging to the same species should remain relatively fixed.
                     
"
monkey,"About 11 million years ago, monkeys somehow crossed the sea from South America to the island of Jamaica in the Caribbean. There they evolved into a new species that was unlike any other known monkey. It’s a striking example of how living on an island can transform a species. The details have been revealed by preserved DNA. The first remains of Xenothrix mcgregori were discovered in Long Mile Cave, Jamaica in 1920. The few bones found reveal a highly unusual monkey, with relatively few teeth and leg bones similar to those of a rodent. “What they suggest is a very slow-moving, perhaps even sloth-like lifestyle, which is perhaps not unexpected in an animal living on an island with few predators other than large birds,” says Ross MacPhee of the American Museum of Natural History in New York. Some extinct Madagascan lemurs also evolved a similar slow-moving lifestyle.
                     
 Ever since it was described in 1952, X. mcgregori has been an enigma. It was related to South American monkeys, but it was unclear which group it belonged to or when its ancestors reached Jamaica. Several suggestions had been made based on the bones, but the monkey was so unusual it was impossible to be sure. “It’s been all over the place,” says MacPhee. To clear up the mystery, MacPhee and his colleagues obtained DNA from two preserved X. mcgregori bones. They recovered the entire mitochondrial genome – which animals only inherit from their mothers – and seven chunks of the nuclear genome. The team compared these samples of DNA with the equivalent sequences from 15 different groups of South American primate. They found that X. mcgregori belonged to a group called the titi monkeys. These monkeys live in forests, eat fruit and do not have prehensile tails. X. mcgregori does not look like a typical titi monkey, though, so arriving on the island evidently forced its ancestors to evolve. “The selective pressures on them must have been just extreme,” says MacPhee. “It looks like it got thrown into the mixer.” Island species often evolve rapidly, because there are few large predators but also little fresh water. Xenothrix split from its closest South American relatives roughly 11 million years ago, suggesting that is when its ancestors reached Jamaica. They must have somehow crossed the sea, perhaps on a raft of vegetation. Other primates were present in the Caribbean rather earlier, from about 18 million years ago. It seems several groups made the crossing at the different times, establishing a unique ecosystem. Unfortunately, most of the Caribbean’s native species died out when humans first arrived on the islands, so are only known from preserved remains. X. mcgregori died out about 900 years ago. There is no hard evidence as to why. “What we think but cannot demonstrate is that Xenothrix, like hundreds of other species, was a victim of either direct or indirect impacts by the first humans who got there,” says MacPhee. More on these topics: "
monkey,"Monkeys become more relaxed if they simply watch one monkey grooming another. “If you walk down a street and see someone being nice to someone else, it gives you a warm feeling inside,” says Stuart Semple of the University of Roehampton in London, UK. It seems monkeys experience the same thing. With his student Juliette Berthier, Semple studied 20 female Barbary macaques living in a semi-free ranging group in a Safari park-like environment in a UK forest.
                     
 When a macaque saw another being groomed, the observer started performing fewer “self-directed” behaviours such as scratching and yawning. These behaviours are thought to be signs of anxiety, so it seems the observer macaques became less anxious after seeing another macaque being groomed. “Merely watching grooming is in itself relaxing for monkeys,” says Semple. The observer macaques also became more likely to participate in grooming themselves, either as groomer or groomee. Furthermore, they displayed more friendly behaviours in general, such as cuddling other macaques or feeding with them. The phenomenon is similar to “emotional contagion”: humans become more cheerful if we meet someone cheerful, even online, and some parrots start playing when they hear other parrots making playful sounds. But in this case the effect lasted longer, in some cases 30 minutes. The finding may help explain the phenomenon of “ASMR” (autonomous sensory meridian response). Some people experience a pleasant, calming tingle when watching videos of other people whispering or performing actions like tapping their fingers on surfaces. “If you look at what sorts of behaviours tend to trigger ASMR in people, they’re basically grooming,” says Nick Davis of Manchester Metropolitan University in the UK. For instance, ASMR videos often include comforting gestures and gentle speech. “The change in behaviour that we see in those animals seems to be similar to what we see in humans,” says Davis. “There’s a calming effect.” He wants to see studies of the physiological changes in the macaques, to see if they are similar to those seen in humans experiencing ASMR. Semple agrees that there is an “interesting parallel” and speculates that videos in which one person is kind to another might also trigger ASMR.   More on these topics: "
monkey,"When bonobos give birth, other females gather around to support and protect the mother. These “midwives” bely the notion that assistance during birth is unique to humans. Until now there has only been one scientific account of a wild bonobo giving birth, published in 2014. On that occasion, other females stayed close to the mother. Now Elisa Demuru of the University of Pisa in Italy and her colleagues have described three births among captive bonobos at primate parks in France and the Netherlands.
                     
"
monkey,"An opposable thumb is supposed to be a sign of a sophisticated species. But apes called bonobos make little use of their thumbs when they hang from tree branches – even though we use ours to keep a tight grip. Bonobos are our closest living relatives, along with chimpanzees. We are all descended from the same common ancestor, so studying bonobos can give us clues to what that common ancestor was like. Tracy Kivell at the University of Kent, UK and her colleagues studied bonobos living at Planckendael, a …"
monkey,"Humans and chimpanzees might have one more thing in common: they both seem to have benefitted from sex with a closely related species. During the last decade, geneticists have reported that our species interbred with ancient humans including the Neanderthals and Denisovans. They have also found tantalising signs that we benefitted from doing so, gaining DNA that may have boosted our immune systems or made us better able to survive at high altitude or in the frigid Arctic. …"
monkey,"A CASHEW is a tough nut to crack. You must carefully balance it on an anvil and bash it with a hammer, while avoiding contact with the caustic resin in its shell. This takes great skill. Yet bearded capuchin monkeys living in north-east Brazil take it in their stride. And their tool-wielding talents don’t end there. They also dig for tubers and insects with rocks. Females sometimes even hurl them at males in what appears to be an unusual flirting tactic. We used to think that using tools was the preserve of our hominin lineage and one of the remarkable talents that made us human. So much for that idea… In fact, we have known for some years that our closest living relatives, chimps, employ a variety of tools, including some made of stone. Recently, primatologists have been intrigued to discover that this also applies to two more-distant cousins – the capuchins and macaques living in a coastal region of Thailand. The findings have attracted the attention of archaeologists keen to explore the so-called Stone Ages of non-human primates. Digging through layers of dirt, they have already unearthed the remains of tools made thousands of years ago. Their discoveries usher in the new discipline of primate archaeology, which has the potential to give novel insights not just about these species but also about our distant ancestors. Before, it was assumed that we alone possessed an archaeological record containing material evidence of past behaviours. Now that three more such records are emerging, it is possible to …"
monkey," STUFFED and displayed in an Edinburgh museum, Dolly the sheep seems a distant memory – like the technique used to create her more than 20 years ago. But with the news that Chinese researchers have cloned two macaques (see “Scientists have cloned monkeys and it could help treat cancer”), Dolly suddenly feels relevant again. The long-awaited success revives not just memories of the sheep herself, but also the moral panic that greeted her. The fear then was that we had opened a Pandora’s box of cloned humans. Cloning primates seemingly brings that prospect even closer.
                     
 It didn’t happen then and it probably won’t now. If anything, the breakthrough confirms what we already knew: that cloning humans from adult cells remains a formidable technical challenge. The macaques were created from fetal cells, not adult ones. Nonetheless, there are still ethical implications. The Chinese team says its aim is to better understand harrowing human diseases. For that there is a good scientific rationale to the clones. Macaques are a better human analogue than mice, and cloning gives a level of precision that conventional breeding cannot. But is there a moral case too? Generating meaningful results would require cloning and experimentation on a massive scale. Team leader Mu-ming Poo of the Shanghai Institute of Neuroscience is on record as saying he thinks primate research is worth it – as long as appropriate ethical standards are applied. In reality, however, the creation of clones doesn’t alter the ethical equation. The procedure is still inefficient and legions of cloned macaques appear unlikely; meanwhile, China has embarked on a major research programme using conventionally bred and GM primates. The ethical debate is very much alive, but clones are not where the action is – at least for now. This article appeared in print under the headline “More monkey business” More on these topics: "
monkey,"MEET Zhong Zhong and Hua Hua, the world’s first monkeys cloned using the technique that gave us Dolly the sheep. The female long-tailed macaques represent a technical milestone. It should make it possible to create customisable and genetically uniform populations of monkeys, which could speed up treatments for diseases such as Parkinson’s, Alzheimer’s and cancer. But the breakthrough will inevitably raise fears that human cloning is closer than ever. The monkeys hold such huge potential because they all inherit exactly the same genetic material, says the Chinese team that cloned them.
                     
 This would enable scientists to tweak genes the monkeys have that are linked to human disease, and then monitor how this alters the animals’ biology, comparing it against animals that are genetically identical except for the alterations. It could accelerate the hunt for genes and processes that go wrong in these diseases, and ways to correct them, the team says. Although 23 species of mammal have been cloned since Dolly – including pigs, cats, dogs, rats and cattle – monkeys have, until now, proved resistant to the technique (see “A brief history of mammal cloning”).  In 2000, researchers cloned monkeys for the first time, but did so by splitting an embryo after it had been fertilised, essentially just producing a genetically identical twin. This method can only be used to create a maximum of four identical animals. Now, Qiang Sun at the Chinese Academy of Sciences Institute of Neuroscience in Shanghai and his colleagues have tweaked the technique used to produce Dolly to create a theoretically limitless number of clones. Called somatic cell nuclear transfer, the method involves removing the nucleus from a donor egg cell and replacing it with one taken out of a cell from another animal. An electric current is used to trick the egg into thinking it has been fertilised, and it starts to develop into an early embryo. When implanted into the uterus of a surrogate mother, the embryo will grow into a carbon copy of the animal that donated the nucleus (see diagram). Previous attempts to do this in monkeys have never progressed beyond an early embryonic stage called a blastocyst. Sun and his colleagues went further by introducing two new ingredients to the soup of nutrients and growth factors that help cloned embryos grow before being placed into the surrogate. The ingredients – messenger RNA and a compound called trichostatin A – awakened at least 2000 genes that are vital for various stages of embryonic development, enabling development to proceed.  The team also discovered that it is easier to clone macaques if you use cells from fetal macaques rather than adults. Zhong Zhong and Hua Hua were both created using cells destined to form connective tissue, extracted from an aborted female fetus. Altogether, 79 embryos were implanted into 21 surrogates. The pair were the only live births from six pregnancies (Cell, DOI: 10.1016/j.cell.2018.01.020). Dolly was the only success from 277 implanted embryos.  Although attempts to perform the technique using cells taken from adult macaques also produced two live animals, both died soon after birth, and one had abnormal body development. “For many cell types, reprogramming is more difficult for adult cells than for fetal cells,” says Robert Lanza, chief scientist at the Astellas Institute for Regenerative Medicine in Massachusetts, whose team cloned human adult skin cells for the first time in 2014. “That appears to be the case here as well,” he says. This technical hurdle may put to rest fears often expressed after cloning successes: that it could lead to a Never Let Me Go scenario – the science fiction novel in which human clones are created for spare organs. Post-Dolly, the Raëlian movement in California claimed it had cloned human babies. It set up a firm called Clonaid but its efforts were dismissed as a hoax. “It could be a step towards human cloning, but why would you do it?” says Peter Andrews at the University of Sheffield, UK. “In terms of human biology, it’s illegal to clone a human in Britain and many other countries, and I don’t think anyone would rationally want to do it.” The Chinese team says its focus is to use the cloned monkeys to create better animal models of disease in order to accelerate medical therapies. Andrews says this concept has merit, especially given the long-standing difficulties of trying to mimic complex diseases like Alzheimer’s and Parkinson’s in mice. To date, all therapies that have treated Alzheimer’s-like symptoms in mice have failed when trialled in humans. One potential reason for the repeated failure is that the Alzheimer’s mouse model is not a close enough replica of the human version of the disease. Now it might be possible to better model Alzheimer’s in cloned monkeys by knocking out genes that have a similar role in monkeys and humans, such as one that triggers the production of beta-amyloid plaques that clog up Alzheimer’s brains. There are issues though, says Andrews. “Not least the cost of keeping primates, and that you’d need to breed many of them for it to be useful. You would then run into ethical problems – you can see why people would object.” The most recent UK assessment on the ethics of primate research, published in 2006, found “a strong scientific case for the carefully regulated use of non-human primates where there are no other means to address clearly defined questions of particular importance”. In 2013, the US announced plans to retire all but 50 of its 360 research chimpanzees and phase out the majority of research on these animals that it previously supported. It is also reviewing its policies on other related animals. In contrast, China plans to accelerate medical therapies by studying cloned and genetically engineered monkeys. At a conference in May 2016, Mu-ming Poo of the Institute of Neuroscience in Shanghai unveiled the world’s first genetically engineered monkey with a version of Parkinson’s disease and presented ambitious plans to expand the use of monkeys to study neurodegenerative disease. He made the same case in New Scientist shortly after, arguing that because monkeys are so closely related to us and have advanced minds and complex social networks, they will tell us much more about diseases of the brain than mice ever could.  1996 Dolly the sheep is born using a technique called somatic cell nuclear transfer, in which the DNA from one animal is placed into an empty donor egg. The two components are stimulated with an electric current and given nutrients that stimulate them to grow into an embryo. 2000 First monkey cloned, but not using the Dolly technique. Instead, a monkey embryo is split to create more embryos. This method can only be used to create a maximum of four clones. 2001 The first attempt at using cloning to boost an endangered species fails after a cloned bison called Noah dies soon after birth. 2001 The first cloned cat arrives, called “Cc”, short for “carbon copy”. 2004 The first cloned monkey embryos are created using the Dolly technique, but none survive long enough to be implanted. 2004 South Korean scientist, Woo Suk Hwang, claims to have obtained embryonic stem cells from cloned human embryos. 2005 Snuppy, the world’s first cloned dog is unveiled, also by Woo Suk Hwang. 2006 Woo Suk Hwang’s claims of cloning human embryos are found to have been fraudulent. 2013 Embryonic stem cells are extracted from cloned human embryos by Shoukhrat Mitalipov at the Oregon Regional Primate Research Center. 2016 Mu-ming Poo at the Institute of Neuroscience in Shanghai, China, unveils the world’s first genetically engineered monkey with a version of Parkinson’s disease. 2018 The world’s first cloned monkeys using the Dolly technique are unveiled in China. They are called Zhong Zhong and Hua Hua. This article appeared in print under the headline “Say hello to cloned monkeys” 
                                    Leader: “
                                    
                                        What does China’s monkey breakthrough mean for human cloning?
                                    
                                    ”
                                 More on these topics: "
monkey,"As if poaching, logging, habitat loss and climate change aren’t bad enough, wild chimpanzees now face a new, deadly peril: a virus that causes common colds in people. The threat has been exposed after an investigation of an outbreak of respiratory disease that struck chimps in 2013. The outbreak occurred in the Kanyawara community in Uganda’s Kibale National Park. Out of 56 chimpanzees, five died: almost 10 per cent of the population. A detailed post mortem on a two-year-old chimp called …"
monkey," A rare sighting of a chimpanzee giving birth in the wild came to a grisly conclusion. Within seconds of the birth, the baby was snatched away and eaten by a male of the same group. The observation explains why female chimpanzees tend to go into hiding for weeks or months when they have their babies. Little is known about how chimpanzees give birth in the wild because only five births have ever been observed, says Hitonaru Nishie of Kyoto University in Japan. Nishie and his colleagues have been studying chimpanzees in Tanzania’s Mahale mountains for the last few years.
                     
 One of the reasons so few have been witnessed is that the soon-to-be mothers often leave the group when the baby is due, and don’t return until the infant is weeks or months old. This absence has been described as a chimpanzee’s “maternity leave”. So Nishie and his colleague Michio Nakamura were surprised when, at around 11 am one December day, a female member of the chimpanzee group they were observing began to give birth in front of the 20 other members. As soon as the baby was out – and before the mother had even had a chance to touch it – the baby was snatched away by a male member of the group, who then disappeared into the bush. The researchers found him around 1½ hours later, sitting up a tree and eating the infant from the lower half of its body. He ate the entire body within an hour. This is the first time anyone has reported seeing a newborn chimpanzee cannibalised in this way, says Nishie. He says that his observation provides an obvious clue as to why chimpanzee mothers tend to hide away to give birth. In this case, the mother may not yet have had a chance to learn about “maternity leave” if it was her first pregnancy, says Tatyana Humle at the University of Kent, UK. “I would predict that she would go on ‘maternity leave’ next time,” she says. In fact, when the female chimp did subsequently have another baby (pictured above), she disappeared for a month. Male animals of many other species are known to kill young infants that aren’t related to them. This allows them to mate with the mother, and to have more of their own offspring in the group. And female chimpanzees have also been spotted killing the infants of other females when resources like food are scarce, says Humle. The baby chimp may simply have been a source of nutrition to the adult that snatched it, says Nishie. At any rate, infanticide and cannabilism are extremely rare among chimpanzees, says Hulme. “I work with a chimp community in West Africa, and I have never witnessed any cases,” she says. Humle thinks that such violence may be more likely to occur in larger groups, where there is more competition for resources. More on these topics: "
